first_published_year,book_title,author,original_language,genre,approximate_sales_in_millions
1859,A Tale of Two Cities,Charles Dickens,English,Historical fiction,200
1943,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,"Fantasy, children's fiction",200
1988,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,Fantasy,150
1997,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,"Fantasy, children's fiction",120
1939,And Then There Were None,Agatha Christie,English,Mystery,100
1791,Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,Family saga,100
1937,The Hobbit,J. R. R. Tolkien,English,"Fantasy, children's fiction",100
1865,Alice's Adventures in Wonderland,Lewis Carroll,English,"Fantasy, absurdist fiction",100
1950,"The Lion, the Witch and the Wardrobe",C.S. Lewis,English,"Fantasy, children's fiction",85
1887,She: A History of Adventure,H. Rider Haggard,English,Adventure,83
2003,The Da Vinci Code,Dan Brown,English,Mystery thriller,80
1998,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,"Fantasy, children's fiction",77
1951,The Catcher in the Rye,J. D. Salinger,English,Coming-of-age,65
1999,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,"Fantasy, children's fiction",65
2000,Harry Potter and the Goblet of Fire,J. K. Rowling,English,"Fantasy, children's fiction",65
2003,Harry Potter and the Order of Phoenix,J. K. Rowling,English,"Fantasy, children's fiction",65
2005,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,"Fantasy, children's fiction",65
2007,Harry Potter and the Deathly Hallows,J. K. Rowling,English,"Fantasy, children's fiction",65
1992,The Bridges of Madison County,Robert James Waller,English,Romance,60
1967,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,Magic realism,50
1955,Lolita,Vladimir Nabokov,English,Novel,50
1880,Heidi,Johanna Spyri,German,Children's fiction,50
1946,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,Manual,50
1908,Anne of Green Gables,Lucy Maud Montgomery,English,Children's novel,50
1877,Black Beauty,Anna Sewell,English,Children's literature,50
1980,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,"Historical novel, mystery",50
1975,The Eagle Has Landed,Jack Higgins,English,"War, thriller",50
1972,Watership Down,Richard Adams,English,Fantasy,50
1976,The Hite Report,Shere Hite,English,Sexology,50
1952,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,Children's fiction,50
1955,The Ginger Man,J. P. Donleavy,English,Novel,50
2002,The Purpose Driven Life,Rick Warren,English,Philosophical Manual,50
1902,The Tale of Peter Rabbit,Beatrix Potter,English,Children's literature,45
1970,Jonathan Livingston Seagull,Richard Bach,English,"Novella, self-help",44
1969,The Very Hungry Caterpillar,Eric Carle,English,"Children's literature, picture book",43
1899,A Message to Garcia,Elbert Hubbard,English,Essay/literature,40
1960,To Kill a Mockingbird,Harper Lee,English,"Southern Gothic, Bildungsroman",40
1979,Flowers in the Attic,V. C. Andrews,English,"Gothic horror, family saga",40
1980,Cosmos,Carl Sagan,English,"Popular science, anthropology, astrophysics, cosmology, philosophy, history",40
1991,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,"Philosophical novel, Young adult",40
2000,Angels & Demons,Dan Brown,English,mystery-thriller,39
1939,Alcoholics Anonymous,William Griffith Wilson,English,Self-help,37
1979,Kane and Abel,Jeffrey Archer,English,Novel,37
1932,How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,Socialist realist novel,36
1869,War and Peace (Война и мир),Leo Tolstoy,Russian,Historical novel,36
1881,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,"Fantasy, children's fiction",35
1947,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,"Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature",35
1976,Your Erroneous Zones,Wayne Dyer,English,Self-help,35
1977,The Thorn Birds,Colleen McCullough,English,Romantic family saga,33
2003,The Kite Runner,Khaled Hosseini,English,"Bildungsroman, historical fiction",31
1966,Valley of the Dolls,Jacqueline Susann,English,Novel,31
1936,How to Win Friends and Influence People,Dale Carnegie,English,Self-help,30
1925,The Great Gatsby,F. Scott Fitzgerald,English,"Novel, tragedy",30
1936,Gone with the Wind,Margaret Mitchell,English,Historical fiction,30
1938,Rebecca,Daphne du Maurier,English,Gothic novel,30
1951,The Revolt of Mamie Stover,William Bradford Huie,English,Fiction,30
2005,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,Fiction,30
2009,The Lost Symbol,Dan Brown,English,Fiction,30
2008,The Hunger Games,Suzanne Collins,English,Young adult fiction,29
1961,James and the Giant Peach,Roald Dahl,English,Children's novel,28
1945,The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,Young adult historical novel,26
1998,Who Moved My Cheese?,Spencer Johnson,English,"Self-help, motivational, business fable, psychology, leadership, parable",28
1988,A Brief History of Time,Stephen Hawking,English,Popular science,25
1788,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,Novel,25
1934,Lust for Life,Irving Stone,English,Biographical novel,25
1908,The Wind in the Willows,Kenneth Grahame,English,Children's literature,25
1989,The 7 Habits of Highly Effective People,Stephen R. Covey,English,Self-help,25
1981,Totto-Chan: The Little Girl at the Window (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,Autobiographical novel,25
1935,Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,Novel,24
1993,The Celestine Prophecy,James Redfield,English,New-age spiritual novel,23
2012,The Fault in Our Stars,John Green,English,Young adult romantic novel,23
2015,The Girl on the Train,Paula Hawkins,English,Thriller,23
2007,The Shack,William P. Young,English,Novel,22
1936,Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,"Children's Literature, picture book",21
1969,The Godfather,Mario Puzo,English,Crime novel,21
1970,Love Story,Erich Segal,English,Romance novel,21
2009,Catching Fire,Suzanne Collins,English,"Young adult novel, adventure, dystopian, science fiction",21
2010,Mockingjay,Suzanne Collins,English,"Young Adult novel, adventure, war, science fiction, action thriller",20
1988,Kitchen (キッチン),Banana Yoshimoto,Japanese,Japanese novel,20
1957,Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,Science fiction novel,20
2012,Gone Girl,Gillian Flynn,English,Crime thriller novel,20
1974,The Bermuda Triangle,Charles Berlitz,English,,20
1958,Things Fall Apart,Chinua Achebe,English,Novel,20
2004,Wolf Totem (狼图腾),Jiang Rong,Chinese,Semi-autobiographical novel,20
1971,The Happy Hooker: My Own Story,Xaviera Hollander,English,Memoir,20
1974,Jaws,Peter Benchley,English,Thriller,20
1986,Love You Forever,Robert Munsch,English,"Children's literature, picture book, fiction",20
1977,The Women's Room,Marilyn French,English,Feminist novel,20
1984,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,Pregnancy guide,20
1885,Adventures of Huckleberry Finn,Mark Twain,English,"Picaresque novel, Bildungsroman, satire, Robinsonade",20
1982,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,Young adult novel,20
1813,Pride and Prejudice,Jane Austen,English,"Classic regency novel, romance",20
1950,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,Travel literature,20
1923,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,Unfinished satirical dark comedy novel,20
1963,Where the Wild Things Are,Maurice Sendak,English,Children's picture book,20
1952,The Power of Positive Thinking,Norman Vincent Peale,English,Self-help,20
2006,The Secret,Rhonda Byrne,English,Self-help,20
1973,Fear of Flying,Erica Jong,English,Romantic novel,20
1965,Dune,Frank Herbert,English,Science fiction novel,20
1964,Charlie and the Chocolate Factory,Roald Dahl,English,Children's fantasy novel,20
1968,The Naked Ape,Desmond Morris,English,"Social Science, Anthropology, Psychology",20
1914,Kokoro (こゝろ),Natsume Sōseki,Japanese,Novel,20
